,mse,mse_lab,mse_magnitude,mse_phase,med_magnitude,med_phase,hvs1,hvs2,hvs3,ssim,ncc,if_value,histogram,class
43,12.0,0.8702494303385416,12.047333,2.3922199319120194,254.0,0.0,0.01814039519548395,0.15867667164454233,108.5116246840533,0.995641490725824,0.00034420062495272067,6.521487127198849,11.073292263579788,Original
44,37.0,1.016510009765625,37.802967,3.35065285498843,0.0,0.0,0.04758842897867339,0.09626704674734753,97.59470741421569,0.9877241324654399,0.000578807131828367,19.3953462377822,10.107017033435113,Original
45,1.0,0.01116943359375,1.3340861,0.35079292386680533,0.0,0.0,0.003778027573797567,0.027940687063546053,91.76180324180454,0.9994811942095039,0.00022529512756298183,1.1667836472349604,11.500279583124211,Original
46,9.0,0.36648271855939585,9.782643,2.069094600384337,0.0,0.0,0.012220350417371836,0.07510688591928556,102.961645897046,0.9963468997574126,0.0004161639976699215,5.389494971807257,10.166574023809517,Original
47,67.0,4.210398356119792,67.19477,2.0948229711533175,254.0,7.213181468621401e-15,0.0336930257983505,0.09783054820585614,111.51432347515829,0.9789971911694552,0.0003311917983415432,34.086885273644626,12.884553644049447,Original
48,6.0,5.042470296223958,6.3549705,0.35754336406367976,254.0,0.0451315713930224,0.016454532257652168,0.5936211090856038,107.12289472592424,0.9989169150829739,0.0008786695297481504,3.676943605653466,10.265861068655795,Original
49,5.0,0.011474609375,5.959391,0.9857418216573189,0.0,0.0,0.0019186995430821212,0.05705024460742385,110.40133694916769,0.9979816379152672,0.0004108173128241664,3.4786864569784672,10.360555960796773,Original
50,2.0,2.538424479166667,2.5384245,0.13618004798112657,255.0,0.0,0.007398794925638175,0.19844430322185924,118.37455976817807,0.9994999657935868,0.0004674799172854222,1.768962222480127,6.859604773146202,Original
51,0.0,0.3971761067708333,0.39717612,0.08530002636829853,0.0,0.0,0.0033896295738134086,0.062431821827831586,123.12898076873977,0.9998307407159708,0.0004498398283994993,0.698503423743402,11.96882150361489,Original
52,56.0,56.15811259920635,56.158104,0.43361983477427846,251.0,1.570092458683775e-16,0.009490097140626591,0.0016746408988771403,169.2768689503579,0.9758464285885906,0.00010569752035666948,28.56697951389747,1.918300537055984,Original
53,11.0,1.2890421549479167,11.1119585,1.8415445609697327,0.0,0.0,0.03358613334999149,0.02271694645963458,73.88283962673613,0.9963075163029781,0.00018154342105488908,6.054133168958781,6.472396943085187,Original
54,60.0,56.698883056640625,60.112946,0.24723607020923496,5.0,0.0,0.008539671257714014,0.05550829019194129,88.92702301623774,0.9964075842652719,0.000170074234631059,30.554676570452948,4.275192673281708,Original
55,23.0,2.0571187337239585,23.73941,1.8556924878304553,254.0,0.02239276652074474,0.03277676851751681,0.018437847804504946,78.51283780764909,0.9908287864428801,0.00024947406917676877,12.365119593416752,9.115776230857591,Original
56,27.0,27.699778238932293,27.699778,0.2019034767859117,4.0,0.0,0.014647711603169057,0.06781019449239171,106.56052573210273,0.997309741639877,0.00020962657496367493,14.348543990286085,10.323780446313322,Original
57,47.0,0.037786458333333335,47.437786,2.627824446881559,0.0,0.0,0.012512144838216293,0.03223944192946674,94.06527879901962,0.984713693041426,0.00021241279400910555,24.21125007568738,12.672054837777978,Original
58,56.0,1.5489603678385417,56.14271,2.923209343173106,254.0,0.0,0.0279360352904965,0.03624588258264747,132.80500927096097,0.9894252357561967,0.00017622094882127553,28.566067801797367,5.676554946181568,Original
59,69.0,1.2639872233072917,69.00878,3.605720806461326,254.0,0.022392766520744123,0.02506434438614682,0.334288868177753,79.77545261757048,0.9774845627561832,0.00022663050778886642,34.99313172636507,10.768397893203655,Original
60,79.0,1.576324462890625,79.27424,3.3509501271924402,254.0,0.03224395351096409,0.035299874815144267,0.2694848790341998,107.2437211180045,0.975784846090489,0.0003549577388273986,40.125012987823894,13.105079053435475,Original
